task_id,start_time,end_time,assigned_workers,dependencies,completion_percentage,delay_duration,delay_reason
TASK_0,2025-02-21 05:48:36,2025-02-22 23:48:36,"W1,W2,W8","TASK_1,TASK_2",67.12565765315091,0.9496895764103086,Technical
TASK_1,2025-02-21 19:48:36,2025-02-22 05:48:36,"W1,W2,W4","TASK_1,TASK_2",93.35949530934924,1.9936768811613992,Technical
TASK_2,2025-02-21 19:48:36,2025-02-22 01:48:36,"W1,W2,W9","TASK_1,TASK_2",60.03951448744774,4.454568531146254,Technical
TASK_3,2025-02-21 16:48:36,2025-02-22 18:48:36,"W1,W2,W4","TASK_1,TASK_2",93.32842820543634,1.7409435964681086,Resource
TASK_4,2025-02-21 13:48:36,2025-02-22 12:48:36,"W1,W2,W8","TASK_1,TASK_2",80.5946511461051,2.184239757605646,Weather
TASK_5,2025-02-21 16:48:36,2025-02-22 12:48:36,"W1,W2,W8","TASK_1,TASK_2",52.30222426377611,4.114499739999963,Technical
TASK_6,2025-02-21 01:48:36,2025-02-22 15:48:36,"W1,W2,W8","TASK_1,TASK_2",12.894168947837226,1.9259246868432607,Technical
TASK_7,2025-02-21 15:48:36,2025-02-22 09:48:36,"W1,W2,W6","TASK_1,TASK_2",86.38593243425657,3.2682598608093247,Technical
TASK_8,2025-02-21 10:48:36,2025-02-22 16:48:36,"W1,W2,W7","TASK_1,TASK_2",58.90817165124837,3.6663911942661365,Resource
TASK_9,2025-02-21 06:48:36,2025-02-22 05:48:36,"W1,W2,W3","TASK_1,TASK_2",81.35677128771808,3.5129097723805542,None
TASK_10,2025-02-21 16:48:36,2025-02-22 22:48:36,"W1,W2,W9","TASK_1,TASK_2",68.56442151046396,1.596498860352364,Technical
TASK_11,2025-02-21 15:48:36,2025-02-22 02:48:36,"W1,W2,W6","TASK_1,TASK_2",73.7215337939657,2.07060105049173,Resource
TASK_12,2025-02-21 02:48:36,2025-02-22 05:48:36,"W1,W2,W9","TASK_1,TASK_2",0.7922522914551422,4.537785054910258,None
TASK_13,2025-02-21 21:48:36,2025-02-22 10:48:36,"W1,W2,W3","TASK_1,TASK_2",69.82690704549127,1.5907846373179246,None
TASK_14,2025-02-21 23:48:36,2025-02-22 21:48:36,"W1,W2,W8","TASK_1,TASK_2",37.98147187876655,4.307356669252556,Weather
TASK_15,2025-02-21 07:48:36,2025-02-22 15:48:36,"W1,W2,W6","TASK_1,TASK_2",6.648413642583584,1.126651514721746,None
TASK_16,2025-02-21 03:48:36,2025-02-22 04:48:36,"W1,W2,W8","TASK_1,TASK_2",42.360116146169126,1.2188574583694833,Resource
TASK_17,2025-02-21 09:48:36,2025-02-22 06:48:36,"W1,W2,W8","TASK_1,TASK_2",89.29872924999174,2.75583733795211,Weather
TASK_18,2025-02-21 14:48:36,2025-02-22 08:48:36,"W1,W2,W8","TASK_1,TASK_2",4.869057075769079,3.404396257228266,Resource
TASK_19,2025-02-21 03:48:36,2025-02-22 04:48:36,"W1,W2,W5","TASK_1,TASK_2",51.50398372708656,4.523039351085219,Technical
TASK_20,2025-02-21 10:48:36,2025-02-22 18:48:36,"W1,W2,W8","TASK_1,TASK_2",88.03173410844867,3.4571713957663652,Resource
TASK_21,2025-02-21 23:48:36,2025-02-22 01:48:36,"W1,W2,W5","TASK_1,TASK_2",31.963723336153514,1.0385667589757182,None
TASK_22,2025-02-21 05:48:36,2025-02-22 14:48:36,"W1,W2,W8","TASK_1,TASK_2",8.104359081691292,0.25130036012538937,None
TASK_23,2025-02-21 17:48:36,2025-02-22 02:48:36,"W1,W2,W3","TASK_1,TASK_2",21.985864868832817,4.7118247225422225,None
TASK_24,2025-02-21 10:48:36,2025-02-22 19:48:36,"W1,W2,W3","TASK_1,TASK_2",14.951365663167316,0.40211537895502525,Weather
TASK_25,2025-02-21 02:48:36,2025-02-22 12:48:36,"W1,W2,W5","TASK_1,TASK_2",15.663530941281767,2.808964953022248,Weather
TASK_26,2025-02-21 17:48:36,2025-02-22 02:48:36,"W1,W2,W7","TASK_1,TASK_2",86.30709059898433,4.125793618354971,Resource
TASK_27,2025-02-21 04:48:36,2025-02-22 05:48:36,"W1,W2,W6","TASK_1,TASK_2",20.512138462085915,4.954331038901223,Technical
TASK_28,2025-02-21 21:48:36,2025-02-22 13:48:36,"W1,W2,W3","TASK_1,TASK_2",77.9351288352849,4.471048639501268,Weather
TASK_29,2025-02-21 14:48:36,2025-02-22 19:48:36,"W1,W2,W9","TASK_1,TASK_2",40.931956830725454,1.737134072569898,Resource
TASK_30,2025-02-21 14:48:36,2025-02-22 04:48:36,"W1,W2,W5","TASK_1,TASK_2",27.191672155757463,3.350894085471818,Technical
TASK_31,2025-02-21 21:48:36,2025-02-22 08:48:36,"W1,W2,W5","TASK_1,TASK_2",63.49683409835859,0.6964586987640531,Technical
TASK_32,2025-02-21 09:48:36,2025-02-22 15:48:36,"W1,W2,W9","TASK_1,TASK_2",51.009281603438176,2.132687717629103,Weather
TASK_33,2025-02-21 10:48:36,2025-02-22 05:48:36,"W1,W2,W4","TASK_1,TASK_2",33.976129686864454,0.08742949271320022,None
TASK_34,2025-02-21 14:48:36,2025-02-22 02:48:36,"W1,W2,W8","TASK_1,TASK_2",85.01465238856267,0.5223265789256076,Weather
TASK_35,2025-02-21 13:48:36,2025-02-22 20:48:36,"W1,W2,W4","TASK_1,TASK_2",45.943895700475565,4.754299871927759,Resource
TASK_36,2025-02-21 07:48:36,2025-02-22 15:48:36,"W1,W2,W4","TASK_1,TASK_2",28.853448857930275,0.7887501051756779,Technical
TASK_37,2025-02-21 15:48:36,2025-02-22 19:48:36,"W1,W2,W5","TASK_1,TASK_2",65.69099702476218,1.3165449637715898,Resource
TASK_38,2025-02-21 14:48:36,2025-02-22 13:48:36,"W1,W2,W3","TASK_1,TASK_2",24.455360574049468,1.8929967149190636,Weather
TASK_39,2025-02-21 12:48:36,2025-02-22 18:48:36,"W1,W2,W9","TASK_1,TASK_2",74.77586250244036,1.3077583174240504,Resource
TASK_40,2025-02-21 15:48:36,2025-02-22 19:48:36,"W1,W2,W8","TASK_1,TASK_2",64.01703962375149,2.8656909392424685,Resource
TASK_41,2025-02-21 09:48:36,2025-02-22 19:48:36,"W1,W2,W5","TASK_1,TASK_2",58.041727628332055,3.2972814121349563,Resource
TASK_42,2025-02-21 03:48:36,2025-02-22 10:48:36,"W1,W2,W7","TASK_1,TASK_2",23.511773009572757,4.295754989003454,Resource
TASK_43,2025-02-21 08:48:36,2025-02-22 08:48:36,"W1,W2,W9","TASK_1,TASK_2",1.0999924766324054,0.16336763170188673,Technical
TASK_44,2025-02-21 02:48:36,2025-02-22 08:48:36,"W1,W2,W4","TASK_1,TASK_2",82.26925514211028,0.5988942268230496,None
TASK_45,2025-02-21 14:48:36,2025-02-22 18:48:36,"W1,W2,W3","TASK_1,TASK_2",98.87422657384421,2.013158592714048,Weather
TASK_46,2025-02-21 23:48:36,2025-02-22 18:48:36,"W1,W2,W7","TASK_1,TASK_2",9.716336484739374,1.0559365983673192,Weather
TASK_47,2025-02-21 13:48:36,2025-02-22 06:48:36,"W1,W2,W3","TASK_1,TASK_2",90.42138155420467,0.045223762989155536,Weather
TASK_48,2025-02-21 12:48:36,2025-02-22 21:48:36,"W1,W2,W5","TASK_1,TASK_2",60.842114949052416,4.524481036601492,Weather
TASK_49,2025-02-21 17:48:36,2025-02-22 01:48:36,"W1,W2,W3","TASK_1,TASK_2",42.58416000211703,2.579943180000316,None
TASK_50,2025-02-21 06:48:36,2025-02-22 20:48:36,"W1,W2,W5","TASK_1,TASK_2",87.42539960526973,1.4360766994168634,None
TASK_51,2025-02-21 06:48:36,2025-02-22 18:48:36,"W1,W2,W7","TASK_1,TASK_2",93.5756712857308,0.31722082927586603,None
